captured_at_utc,volcano,sensor,band,last_modified_utc,md5,size_bytes,tif_path,kmz_path
2026-05-09T04:48:45.987719+00:00,Isluga,MODIS,B21,2026-05-08T21:43:37+00:00,8992902988f7a6db2aaf5dedf5e1c85b,21200,data/tif/Isluga/20260508_214337_MODIS.tif,data/kmz/Isluga/20260508_214337_MODIS.kmz
2026-05-09T04:48:46.399788+00:00,Isluga,VIIRS750,M13,2026-05-09T03:46:32+00:00,d9eda9e6ae85acfa84bb97be44e2df7f,36384,data/tif/Isluga/20260509_034632_VIIRS750.tif,data/kmz/Isluga/20260509_034632_VIIRS750.kmz
2026-05-09T04:48:46.818291+00:00,Isluga,VIIRS375,I04,2026-05-09T01:38:42+00:00,59900053efc0bdea89a98302fe4c5b66,145570,data/tif/Isluga/20260509_013842_VIIRS375.tif,data/kmz/Isluga/20260509_013842_VIIRS375.kmz
2026-05-09T04:48:47.140831+00:00,Lascar,MODIS,B21,2026-05-08T21:44:35+00:00,1f9923381e10c1be04678c2ee3d133d8,21630,data/tif/Lascar/20260508_214435_MODIS.tif,data/kmz/Lascar/20260508_214435_MODIS.kmz
2026-05-09T04:48:47.453639+00:00,Lascar,VIIRS750,M13,2026-05-09T03:47:33+00:00,c85d330b53d7c16600dddafcac9ec5ce,37014,data/tif/Lascar/20260509_034733_VIIRS750.tif,data/kmz/Lascar/20260509_034733_VIIRS750.kmz
2026-05-09T04:48:47.761149+00:00,Lascar,VIIRS375,I04,2026-05-09T01:39:55+00:00,8b1b3190259ae48da347510985e387e2,146138,data/tif/Lascar/20260509_013955_VIIRS375.tif,data/kmz/Lascar/20260509_013955_VIIRS375.kmz
2026-05-09T04:48:48.072485+00:00,Lastarria,MODIS,B21,2026-05-09T04:26:26+00:00,821a6ef1e4c7143b0ac8cee9c615a6fc,20846,data/tif/Lastarria/20260509_042626_MODIS.tif,data/kmz/Lastarria/20260509_042626_MODIS.kmz
2026-05-09T04:48:48.380079+00:00,Lastarria,VIIRS750,M13,2026-05-09T03:48:43+00:00,36b15203fb788ef647dbec3c91627b5e,30840,data/tif/Lastarria/20260509_034843_VIIRS750.tif,data/kmz/Lastarria/20260509_034843_VIIRS750.kmz
2026-05-09T04:48:48.694401+00:00,Lastarria,VIIRS375,I04,2026-05-09T02:42:03+00:00,bc49aa1a60c7f31b8d69742e5c785d11,143930,data/tif/Lastarria/20260509_024203_VIIRS375.tif,data/kmz/Lastarria/20260509_024203_VIIRS375.kmz
2026-05-09T04:48:49.001844+00:00,Tupungatito,MODIS,B21,2026-05-09T04:27:29+00:00,d1d13e45332139a4e972b95a7e5f984a,21422,data/tif/Tupungatito/20260509_042729_MODIS.tif,data/kmz/Tupungatito/20260509_042729_MODIS.kmz
